"nmf_type","fixW","beta","addedCompW","noise","noise.lvl","Sample","F","P","R"
"NMFD","semi",5,0,"None",0,15,0.98,0.96,1
"NMFD","semi",5,0,"None",0,3,0.84,0.92,0.77
"NMFD","semi",5,0,"None",0,12,0.78,0.83,0.74
"NMFD","semi",5,0,"None",0,2,0.81,0.96,0.69
"NMFD","semi",5,0,"None",0,13,0.72,0.89,0.61
"NMFD","semi",5,0,"None",0,5,0.81,0.72,0.92
"NMFD","semi",5,0,"None",0,14,0.83,0.77,0.89
"NMFD","semi",6,0,"None",0,20,0.8,0.78,0.81
"NMFD","semi",6,0,"None",0,18,0.85,0.89,0.81
"NMFD","semi",6,0,"None",0,9,0.73,0.95,0.59
"NMFD","semi",6,0,"None",0,11,0.88,0.88,0.88
"NMFD","semi",6,0,"None",0,7,0.9,0.95,0.85
"NMFD","semi",6,0,"None",0,16,0.57,0.5,0.65
"NMFD","semi",6,0,"None",0,6,1,1,1
"NMFD","semi",6,0,"None",0,17,0.87,0.89,0.84
"NMFD","semi",6,0,"None",0,1,0.65,0.6,0.7
"NMFD","semi",6,0,"None",0,10,0.84,0.92,0.77
"NMFD","semi",6,0,"None",0,19,0.91,0.94,0.88
"NMFD","semi",6,0,"None",0,8,0.96,1,0.92
"NMFD","semi",6,0,"None",0,4,0.97,0.94,1
"NMFD","semi",6,0,"None",0,15,0.98,0.96,1
"NMFD","semi",6,0,"None",0,3,0.84,0.92,0.77
"NMFD","semi",6,0,"None",0,12,0.78,0.83,0.74
"NMFD","semi",6,0,"None",0,2,0.81,0.96,0.69
"NMFD","semi",6,0,"None",0,13,0.72,0.89,0.61
"NMFD","semi",6,0,"None",0,5,0.81,0.72,0.92
"NMFD","semi",6,0,"None",0,14,0.83,0.77,0.89
"NMF","adaptive",0,0,"airplane",1,20,0.55,0.42,0.81
"NMF","adaptive",0,0,"airplane",1,18,0.6,0.48,0.81
"NMF","adaptive",0,0,"airplane",1,9,0.48,0.35,0.75
"NMF","adaptive",0,0,"airplane",1,11,0.52,0.37,0.88
"NMF","adaptive",0,0,"airplane",1,7,0.45,0.36,0.58
"NMF","adaptive",0,0,"airplane",1,16,0.46,0.36,0.65
"NMF","adaptive",0,0,"airplane",1,6,0.56,0.39,0.96
"NMF","adaptive",0,0,"airplane",1,17,0.64,0.49,0.92
"NMF","adaptive",0,0,"airplane",1,1,0.82,0.75,0.9
"NMF","adaptive",0,0,"airplane",1,10,0.59,0.45,0.86
"NMF","adaptive",0,0,"airplane",1,19,0.64,0.5,0.88
"NMF","adaptive",0,0,"airplane",1,8,0.8,0.67,0.97
"NMF","adaptive",0,0,"airplane",1,4,0.64,0.47,1
"NMF","adaptive",0,0,"airplane",1,15,0.61,0.44,1
"NMF","adaptive",0,0,"airplane",1,3,0.93,1,0.87
